Unnamed: 0,Speaker,Text,Time Start,Time End,Entities,Redacted_Text
26,SPEAKER 1, Okay that should be Adam underscore Wilson at mailfence.com.,00:03:12,00:03:12,"['Adam', 'Wilson']", Okay that should be **** underscore **** at mailfence.com.
27,SPEAKER 2, Thank you.,00:03:20,00:03:20,[], Thank you.
28,SPEAKER 1, So again it's Adam underscore Wilson at mailfence.com. Is that correct? Yes it is.,00:03:21,00:03:27,"['Adam', 'Wilson']", So again it's **** underscore **** at mailfence.com. Is that correct? Yes it is.
29,SPEAKER 2, Thank you.,00:03:29,00:03:29,[], Thank you.
30,SPEAKER 1, So Adam underscore Wilson at mailfence.com.,00:03:30,00:03:30,"['Adam', 'Wilson']", So **** underscore **** at mailfence.com.
31,SPEAKER 2, Okay thank you. Now I just want to make sure that I have the correct details.,00:03:37,00:03:38,[], Okay thank you. Now I just want to make sure that I have the correct details.
32,SPEAKER 1, Please hold on for a moment.,00:03:41,00:03:41,[], Please hold on for a moment.
33,SPEAKER 2, We'll check on the details here in my end.,00:03:43,00:03:43,[], We'll check on the details here in my end.
34,SPEAKER 1, Oh sure no problem. Alright. Okay thank you for patiently waiting Adam.,00:03:45,00:03:49,['Adam'], Oh sure no problem. Alright. Okay thank you for patiently waiting ****.
35,SPEAKER 2, Now I can actually see here that you have called to inform us that you'd like to return,00:03:56,00:03:56,[], Now I can actually see here that you have called to inform us that you'd like to return
36,SPEAKER 1, the item on the 15th of November. Is that correct? Yes.,00:04:02,00:04:07,['the 15th of November'], the item on ****. Is that correct? Yes.
37,SPEAKER 2, Now did you return the item to the courier company on the same date that you called?,00:04:08,00:04:08,[], Now did you return the item to the courier company on the same date that you called?
38,SPEAKER 1, Probably close to it. I'm not really sure if it's on the same date though but probably just close to that date.,00:04:14,00:04:17,[], Probably close to it. I'm not really sure if it's on the same date though but probably just close to that date.
39,SPEAKER 2, I understand. However upon checking the date that you actually called in for the return it's already beyond the time frame that we asked for refunds. So what we'll do is I'll go ahead and forward this information to our corporate office and I'll have them check and update you directly about the refund. So please expect an email within two to four business days. Is that okay with you?,00:04:23,00:04:46,['two to four business days'], I understand. However upon checking the date that you actually called in for the return it's already beyond the time frame that we asked for refunds. So what we'll do is I'll go ahead and forward this information to our corporate office and I'll have them check and update you directly about the refund. So please expect an email within ****. Is that okay with you?
40,SPEAKER 1, Two to four business days?,00:04:47,00:04:47,['Two to four'], **** business days?
41,SPEAKER 2, Yes. No worries. I will send it to them right now.,00:04:49,00:04:51,[], Yes. No worries. I will send it to them right now.
42,SPEAKER 1, Oh really?,00:04:53,00:04:53,[], Oh really?
43,SPEAKER 2, Okay alright alright.,00:04:54,00:04:54,[], Okay alright alright.
44,SPEAKER 1, At first I thought that it would probably be like three to five weeks to process.,00:04:55,00:04:55,['three to five weeks'], At first I thought that it would probably be like **** to process.
45,SPEAKER 2, Oh no no no no don't worry Adam. It's only two to four business days. So you already checked your account and nothing has been credited yet in the card ending in 753? Is that right?,00:05:00,00:05:10,"['Adam', 'only two to four', '753']", Oh no no no no don't worry ****. It's **** business days. So you already checked your account and nothing has been credited yet in the card ending in ****? Is that right?
46,SPEAKER 1, Not yet.,00:05:11,00:05:11,[], Not yet.
47,SPEAKER 2, Okay I understand. And I'll go ahead and forward into the details that I have here. So I'll send the email to Adam underscore Wilson at mailfence.com correct? Yes that's right. Alright thank you so much for that information Adam. I will be forwarding this over to our corporate office now and thank you again for calling Coats and Gowns. Is there anything else I can help you with today?,00:05:12,00:05:36,"['Adam', 'Wilson', 'Adam', 'Coats and Gowns', 'today']", Okay I understand. And I'll go ahead and forward into the details that I have here. So I'll send the email to **** underscore **** at mailfence.com correct? Yes that's right. Alright thank you so much for that information ****. I will be forwarding this over to our corporate office now and thank you again for calling ****. Is there anything else I can help you with ****?
48,SPEAKER 1, Oh no that's all. Thank you.,00:05:39,00:05:40,[], Oh no that's all. Thank you.
49,SPEAKER 2, You're welcome and my pleasure. Have a nice day.,00:05:41,00:05:43,['a nice day'], You're welcome and my pleasure. Have ****.
50,SPEAKER 1, Bye. Alright thank you.,00:05:44,00:05:45,[], Bye. Alright thank you.
